flex_1,flex_2,flex_3,flex_4,flex_5,GYRx,GYRy,GYRz,ACCx,ACCy,ACCz
-60,-60,-38,-60,-1,0.60,0.02,-0.02,-2.20,3.95,9.19
-60,-60,-42,-60,-1,0.09,-0.10,-0.21,-2.81,4.07,10.07
-60,-60,-45,-60,-1,-0.36,0.04,-0.32,-1.75,2.73,8.78
-60,-60,-45,-60,-1,0.01,0.41,-0.29,-2.39,2.34,9.43
-60,-60,-42,-60,-1,0.56,0.46,-0.19,-2.48,3.24,8.97
-60,-60,-42,-60,-1,0.15,0.21,-0.27,-2.69,3.32,9.23
-60,-60,-45,-60,-1,-0.27,0.10,-0.30,-2.38,3.01,8.88
-60,-60,-45,-60,-1,-0.11,0.19,-0.26,-2.66,2.86,9.42
-60,-60,-49,-60,-1,-0.08,0.15,-0.22,-2.84,2.93,9.58
-60,-60,-49,-60,-1,-0.09,0.19,-0.16,-2.61,2.98,9.45
-60,-60,-49,-60,-1,-0.01,0.30,-0.13,-2.62,3.53,9.62
-60,-60,-52,-60,-1,-0.08,0.25,-0.18,-2.42,4.09,9.74
-60,-60,-52,-60,-1,-0.21,0.22,-0.13,-2.09,3.65,9.94
-60,-60,-52,-60,-1,-0.24,0.18,0.03,-2.26,3.22,9.64
-60,-60,-52,-60,-1,-0.25,0.09,0.13,-2.37,3.42,9.69
-60,-60,-56,-60,-1,-0.29,-0.01,0.13,-2.52,3.60,9.67
-60,-60,-56,-60,-1,-0.25,-0.14,0.13,-2.41,3.89,9.73
-60,-60,-60,-60,-1,-0.33,-0.21,0.17,-2.45,3.47,9.25
-60,-60,-60,-60,-1,-0.38,-0.13,0.21,-2.36,2.83,9.08
-60,-60,-60,-60,-1,-0.21,0.06,0.22,-2.17,2.78,8.98
-60,-60,-60,-60,-1,-0.04,0.08,0.20,-2.39,2.69,8.87
-60,-60,-60,-60,-1,0.11,-0.06,0.20,-2.63,2.26,9.62
-60,-60,-60,-60,-1,0.33,-0.32,0.10,-2.89,2.57,8.58
-60,-60,-60,-60,-1,0.39,-0.33,0.04,-2.89,3.78,8.83
-60,-60,-60,-60,-1,0.27,-0.29,0.12,-2.30,3.92,9.13
-60,-60,-60,-60,-1,0.19,-0.19,0.05,-2.92,3.66,8.36
-60,-60,-60,-60,-1,0.04,-0.13,-0.07,-2.32,4.04,8.27
-60,-60,-60,-60,-1,-0.20,0.04,-0.18,-2.15,3.15,8.45
-60,-60,-60,-60,-1,-0.10,0.18,-0.13,-2.13,2.96,8.58
-60,-60,-60,-60,-1,0.18,0.27,0.09,-2.22,2.83,8.66
-60,-60,-60,-60,-1,0.33,0.36,0.42,-1.91,3.43,8.16
-60,-60,-60,-60,-1,0.41,0.39,0.51,-2.10,3.20,9.46
-60,-60,-60,-60,-1,0.27,0.09,0.21,-1.75,3.44,8.83
-60,-60,-60,-60,-1,-0.02,-0.00,0.01,-1.37,3.85,8.26
-60,-60,-60,-60,-1,0.13,0.27,0.07,-1.96,4.47,9.41
-60,-60,-60,-60,-1,0.21,0.47,0.02,-2.05,3.50,9.92
-60,-60,-60,-60,-1,-0.27,0.14,-0.15,-2.79,2.47,11.89
-60,-60,-60,-60,-1,-0.08,-0.29,-0.16,-2.17,2.64,9.39
-60,-60,-60,-60,-1,0.41,-0.05,0.02,-2.12,4.19,9.64
-60,-60,-60,-60,-1,-0.03,0.09,-0.04,-1.95,3.67,9.82
-60,-60,-60,-60,-1,-0.34,-0.05,-0.14,-2.04,3.59,9.83
-60,-60,-60,-60,-1,-0.10,-0.10,-0.15,-2.06,3.81,9.73
-60,-60,-60,-60,-1,-0.24,-0.24,-0.20,-1.71,3.65,9.61
-60,-60,-60,-60,-1,-0.43,-0.17,-0.23,-1.86,3.28,9.70
